Name,Alternative Name,Description,Origin,Type,Plant,Health Benefits,Color,Caffeine Content (per 8oz cup),Flavor Profile,Brewing Temperature,Brewing Time,Season of Harvest
Alfalfa Tea,-,"Herbal tea made from alfalfa leaves, rich in nutrients.",-,Herbal,Medicago sativa,"Supports digestion, rich in vitamins and minerals.",Light green,0 mg,"Mildly grassy, slightly sweet",190°F (88°C),5-10 minutes,Year-round
Assamica Tea,Assam Tea,Black tea known for its bold flavor and brisk character.,India (Assam region),Black,Camellia sinensis var. assamica,"Boosts metabolism, high in antioxidants.",Dark amber,50-90 mg,"Malty, strong, brisk",200°F (93°C),3-5 minutes,Summer
Anji Bai Cha,-,A rare green tea known for its delicate taste and high content of amino acids.,China (Anji region),Green,Camellia sinensis,"High in antioxidants, may reduce stress levels.",Light green,20-30 mg,"Sweet, grassy",175°F (80°C),2-3 minutes,Spring
Ashwagandha Tea,-,"Herbal infusion made from ashwagandha root, known for its adaptogenic properties.",India,Herbal,Withania somnifera,"Reduces stress, boosts energy, supports immunity.",Light brown,0 mg,"Earthy, herbaceous",200°F (93°C),5-10 minutes,Year-round
Avocado Leaf Tea,-,"Herbal tea made from dried avocado leaves, with a mild taste.",Mexico,Herbal,Persea americana,"May aid digestion, anti-inflammatory properties.",Dark green,0 mg,Mildly sweet,190°F (88°C),5-10 minutes,Year-round
Bai Hao Oolong Tea,Oriental Beauty Tea,"A unique oolong tea with a complex flavor profile, known for its floral notes.",Taiwan,Oolong,Camellia sinensis,"Rich in antioxidants, promotes fat burning.",Amber,30-50 mg,"Floral, fruity",190°F (88°C),3-5 minutes,Spring
Bai Mu Dan Tea,White Peony Tea,"A white tea made from young leaves and buds, known for its delicate flavor.",China (Fujian),White,Camellia sinensis,"High in antioxidants, may improve skin health.",Pale gold,15-30 mg,"Light, floral, sweet",160°F (71°C),5-7 minutes,Spring
Baihao Yinzhen Tea,Silver Needle Tea,"A premium white tea made from young buds, known for its sweet flavor.",China (Fujian),White,Camellia sinensis,"High in antioxidants, may improve skin health.",Light silver,15-30 mg,"Sweet, floral",160°F (71°C),3-5 minutes,Spring
Bancha Tea,-,"A type of Japanese green tea made from mature leaves, typically harvested later in the season.",Japan,Green,Camellia sinensis,"Aids digestion, rich in minerals.",Dark green,30-40 mg,"Grassy, slightly astringent",175°F (80°C),2-3 minutes,Summer
Barley Tea,Mugicha,"Roasted barley tea, enjoyed hot or cold, with a nutty flavor.",Japan,Herbal,Hordeum vulgare,"May aid digestion, rich in antioxidants.",Brown,0 mg,"Nutty, toasty",200°F (93°C),5-8 minutes,Year-round
Bay Leaf Tea,-,"Herbal infusion made from bay leaves, known for its aromatic properties.",Mediterranean,Herbal,Laurus nobilis,May support digestion and respiratory health.,Golden brown,0 mg,"Aromatic, herbal",190°F (88°C),5-10 minutes,Year-round
Bi Luo Chun Tea,Green Spiral Spring Tea,"High-quality green tea with a fragrant, fruity flavor, often shaped into spirals.",China (Jiangsu),Green,Camellia sinensis,"Boosts metabolism, rich in antioxidants.",Jade green,20-30 mg,"Vegetal, floral",175°F (80°C),2-3 minutes,Spring
Bilberry Tea,-,"A herbal tea made from bilberries, known for its antioxidant properties.",Europe,Herbal,Vaccinium myrtillus,"Supports eye health, may lower blood sugar levels.",Purple,0 mg,"Sweet, slightly tart",190°F (88°C),5-10 minutes,Year-round
Black Cohosh Tea,-,"Herbal tea made from the root of black cohosh, often used to alleviate menstrual discomfort.",North America,Herbal,Actaea racemosa,"May ease menopause symptoms, anti-inflammatory properties.",Brown,0 mg,"Earthy, bittersweet",200°F (93°C),5-10 minutes,Spring
Black Currant Tea,-,"Infusion made from dried black currants, rich in flavor and nutrients.",Europe,Herbal,Ribes nigrum,"High in vitamin C, may boost immune health.",Dark purple,0 mg,"Tart, fruity",200°F (93°C),5-10 minutes,Year-round
Blessed Thistle Tea,-,"Herbal tea made from the leaves and flowers of blessed thistle, known for digestive support.",Mediterranean,Herbal,Cnicus benedictus,"Supports digestion, may stimulate appetite.",Greenish brown,0 mg,"Bitter, earthy",200°F (93°C),5-10 minutes,Year-round
Blue Lotus Tea,-,"Herbal infusion made from blue lotus flowers, known for its calming effects.",Egypt,Herbal,Nymphaea caerulea,"May promote relaxation, mood enhancement.",Light blue,0 mg,"Floral, sweet",190°F (88°C),5-10 minutes,Year-round
Buckwheat Tea,Sobacha,"Roasted buckwheat tea with a nutty flavor, popular in Japan.",Japan,Herbal,Fagopyrum esculentum,"May aid digestion, rich in antioxidants.",Dark brown,0 mg,"Nutty, toasty",200°F (93°C),3-5 minutes,Year-round
Butter Tea,Po Cha,"Traditional Tibetan tea made with butter and salt, providing energy and warmth.",Tibet,Dark Tea,Camellia sinensis,"Provides sustained energy, rich in calories.",Creamy beige,30-50 mg,"Creamy, salty",200°F (93°C),5 minutes,Year-round
Butterfly Pea Flower Tea,-,"Herbal tea made from butterfly pea flowers, known for its vibrant blue color.",Southeast Asia,Herbal,Clitoria ternatea,"Antioxidant-rich, may improve skin health.",Bright blue,0 mg,"Floral, earthy",190°F (88°C),5-7 minutes,Year-round
Calendula Tea,-,"Herbal tea made from calendula flowers, known for its vibrant color and flavor.",Mediterranean,Herbal,Calendula officinalis,"Supports skin health, anti-inflammatory properties.",Golden yellow,0 mg,"Floral, sweet",200°F (93°C),5-10 minutes,Year-round
Carob Tea,-,"Herbal tea made from roasted carob pods, often used as a caffeine-free coffee substitute.",Mediterranean,Herbal,Ceratonia siliqua,"High in fiber, may aid digestion.",Brown,0 mg,"Nutty, sweet",200°F (93°C),5-10 minutes,Year-round
CCF Tea,Cumin-Coriander-Fenugreek Tea,"A herbal blend of cumin, coriander, and fenugreek, often used in Ayurveda.",India,Herbal,Various,"Aids digestion, may improve metabolic health.",Brown,0 mg,"Warm, spicy",200°F (93°C),5-7 minutes,Year-round
Cerasee Tea,-,"Herbal tea made from the leaves of the cerasee plant, known for its bitter taste.",Caribbean,Herbal,Momordica charantia,"May help regulate blood sugar, supports digestion.",Green,0 mg,"Bitter, herbal",200°F (93°C),5-10 minutes,Year-round
Ceylon Tea,Sri Lankan Tea,"Black tea grown in Sri Lanka, known for its bright flavor and quality.",Sri Lanka,Black,Camellia sinensis,"High in antioxidants, may enhance heart health.",Bright amber,50-90 mg,"Citrus, brisk",200°F (93°C),3-5 minutes,Summer
Chaga Mushroom Tea,-,"Herbal infusion made from chaga mushrooms, known for its medicinal properties.",Northern Hemisphere,Herbal,Inonotus obliquus,"Immune-boosting, high in antioxidants.",Dark brown,0 mg,"Earthy, slightly bitter",200°F (93°C),10-15 minutes,Year-round
Chai Tea,Masala Chai,"Spiced tea made with black tea and milk, often flavored with spices like cardamom and cinnamon.",India,Black,Camellia sinensis,"Boosts metabolism, may improve digestion.",Dark brown,50-100 mg,"Spicy, rich",200°F (93°C),5-10 minutes,Year-round
Chamomile Tea,-,"Herbal infusion made from chamomile flowers, known for its calming effects.","Egypt, Europe",Herbal,Matricaria chamomilla,"Promotes relaxation and better sleep, anti-inflammatory properties.",Pale yellow,0 mg,"Floral, sweet",200°F (93°C),5-7 minutes,"Spring, Summer"
Chasteberry Tea,Vitex Tea,"Herbal tea made from the berries of the chaste tree, often used for hormonal balance.",Mediterranean,Herbal,Vitex agnus-castus,"Supports hormonal balance, may alleviate menstrual discomfort.",Brown,0 mg,"Herbal, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Chicory Root Tea,-,"Herbal tea made from roasted chicory root, often used as a coffee substitute.","Europe, N. America",Herbal,Cichorium intybus,"Aids digestion, may support liver health.",Dark brown,0 mg,"Nutty, woody",200°F (93°C),5-10 minutes,Year-round
Chimarrão Tea,Tereré,"Herbal tea made from finely ground yerba mate, traditionally consumed in Brazil.",Brazil,Herbal,Ilex paraguariensis,"High in antioxidants, may enhance focus and energy.",Greenish yellow,30-50 mg,"Earthy, herbal",180°F (82°C),5-15 minutes,Year-round
Chrysanthemum Tea,-,"Herbal tea made from dried chrysanthemums, known for its floral aroma.",China,Herbal,Chrysanthemum morifolium,"May help reduce fever, supports eye health.",Pale yellow,0 mg,"Floral, sweet",190°F (88°C),5-10 minutes,Summer
Cinnamon Tea,-,"Herbal tea made from cinnamon sticks or powder, known for its warming properties.",Global,Herbal,Cinnamomum verum,"May aid digestion, anti-inflammatory properties.",Brown,0 mg,"Spicy, sweet",200°F (93°C),5-10 minutes,Year-round
Citron Tea,Yuzu Tea,"Tea made from citron fruits, known for their aromatic and tangy flavor.",East Asia,Herbal,Citrus medica,"May support digestion, high in vitamin C.",Yellow,0 mg,"Citrusy, tangy",200°F (93°C),5-10 minutes,Winter
Clove Tea,-,"Herbal tea made from dried cloves, known for their warm and spicy flavor.",Indonesia,Herbal,Syzygium aromaticum,"May aid in digestion, possesses antioxidant properties.",Brown,0 mg,"Spicy, warm",200°F (93°C),5-10 minutes,Year-round
Cranberry Tea,-,"Herbal infusion made from dried cranberries, known for its tart flavor.",North America,Herbal,Vaccinium macrocarpon,"High in antioxidants, may support urinary health.",Deep red,0 mg,"Tart, fruity",200°F (93°C),5-10 minutes,Year-round
Da Bai Tea,-,"Large-leaf varietal of white tea, known for its delicate flavor profile.",China (Fujian),White,Camellia sinensis,"High in antioxidants, may improve skin health.",Pale gold,15-30 mg,"Floral, light",160°F (71°C),5-7 minutes,Spring
Da Hong Pao Tea,Big Red Robe Tea,A highly prized oolong tea known for its rich flavor and aroma.,China (Wuyi Mountains),Oolong,Camellia sinensis,"High in antioxidants, may enhance cardiovascular health.",Dark amber,30-50 mg,"Rich, roasted",190°F (88°C),3-5 minutes,Spring
Dandelion Root Tea,-,"Herbal tea made from dried dandelion roots, known for its detoxifying properties.",Worldwide,Herbal,Taraxacum officinale,"Aids digestion, may support liver health.",Dark brown,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Dandelion Tea,-,"Herbal infusion made from dandelion leaves, known for its flavor and health benefits.",Worldwide,Herbal,Taraxacum officinale,"Supports liver health, diuretic properties.",Bright green,0 mg,"Herbal, grassy",190°F (88°C),5-10 minutes,Year-round
Danshen Tea,-,"Herbal tea made from the root of the danshen plant, known for its medicinal properties.",China,Herbal,Salvia miltiorrhiza,"May support cardiovascular health, anti-inflammatory effects.",Dark brown,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Spring
Devil's Club Tea,-,"Herbal tea made from the roots of devil's club, traditionally used by Native Americans.",North America,Herbal,Oplopanax horridus,"May improve immune function, anti-inflammatory properties.",Dark brown,0 mg,"Earthy, woodsy",200°F (93°C),5-10 minutes,Year-round
Dong Quai Tea,Angelica Tea,"Herbal tea made from dong quai root, widely used in traditional Chinese medicine.",China,Herbal,Angelica sinensis,"Supports menstrual health, may relieve symptoms of menopause.",Golden brown,0 mg,"Earthy, slightly sweet",200°F (93°C),5-10 minutes,Spring
Echinacea Tea,-,"Tea made from Echinacea flowers, often used to boost the immune system.",North America,Herbal,Echinacea purpurea,"May enhance immune response, supports respiratory health.",Pale pink,0 mg,"Herbal, sweet",200°F (93°C),5-10 minutes,Summer
Elderberry Tea,-,"Herbal tea made from dried elderberries, known for its immune-boosting properties.",Europe,Herbal,Sambucus nigra,"Rich in antioxidants, may reduce the duration of colds.",Dark purple,0 mg,"Tart, fruity",200°F (93°C),5-10 minutes,Year-round
